div_,sku_tp_mean,sku_tp_median,sku_tp_min,sku_tp_max,branch_nunique
01. див. Дальний Восток,15355.47,15857.5,11439,18855,6
02. див. Восточная Сибирь,16572.75,17227.5,9695,19451,8
03. див. Западная Сибирь,17827.01,17372.5,5081,25389,18
04. див. Урал,14824.66,15867.5,8086,20291,13
05. див. Юг,9841.01,8840.5,1078,21026,25
06. див. Средняя Волга,12425.74,13258.5,3207,24637,6
07. див. Верхняя Волга,12529.34,11960.5,4023,18631,11
08. див. Центральный,24276.37,24910.0,10130,27578,4
09. див. Черноземье,14084.33,14482.0,9954,16286,13
10. див. Приволжский,17559.4,17283.0,1088,24163,11
11. див. Северо-Западный,14670.42,16750.0,2323,19251,2
