date_,div,rrc_name,branch,sku_tp,sku_wh,coverage_rate
2025-06-02,01. див. Дальний Восток,Владивосток Склад,Владивосток Некрасовская ТП,18569,29907,62.09
2025-06-02,01. див. Дальний Восток,Прим Аэртон,Уссурийск 5-й км. ТП,12034,46868,25.68
2025-06-02,01. див. Дальний Восток,Хабаровск Склад,Благовещенск Набережная ТП,17477,43152,40.5
2025-06-02,01. див. Дальний Восток,Хабаровск Склад,Комсомольск Вокзальная ТП,14073,43152,32.61
2025-06-02,01. див. Дальний Восток,Хабаровск Склад,Хаб Проспект ТП,17993,43152,41.7
2025-06-02,01. див. Дальний Восток,Хабаровск Склад,Хаб Южный ТП,11478,43152,26.6
2025-06-02,02. див. Восточная Сибирь,Иркутск Склад,Ангарск ДСК ТП,12060,33093,36.44
2025-06-02,02. див. Восточная Сибирь,Иркутск Склад,Братск ТП Центр,14807,33093,44.74
2025-06-02,02. див. Восточная Сибирь,Иркутск Склад,Иркутск Баррикад ТП,17575,33093,53.11
2025-06-02,02. див. Восточная Сибирь,Иркутск Склад,Улан-Удэ Стрелка ТП,16608,33093,50.19
2025-06-02,02. див. Восточная Сибирь,Красноярск Склад,Абк Айсберг ТП,17142,51868,33.05
2025-06-02,02. див. Восточная Сибирь,Красноярск Склад,Кра ТК Планета Мебели ТП,19327,51868,37.26
2025-06-02,02. див. Восточная Сибирь,Красноярск Склад,Кра ТЦ Апельсин ТП,19224,51868,37.06
2025-06-02,02. див. Восточная Сибирь,Красноярск Склад,Кра ТЦ Красноярье ТП,20192,51868,38.93
2025-06-02,03. див. Западная Сибирь,Барнаул Склад,Бийск Технопоинт,17832,29605,60.23
2025-06-02,03. див. Западная Сибирь,Барнаул Склад,Новоалтайск Технопоинт,20733,29605,70.03
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Белово Технопоинт,12683,44966,28.21
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Кемерово Технопоинт,23959,44966,53.28
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Кемерово Технопоинт ТЦ Проспект,16145,44966,35.9
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Кемерово Технопоинт на Терешковой,16248,44966,36.13
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Ленинск-Кузнецк Технопоинт,17264,44966,38.39
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Новокузнецк Технопоинт,25155,44966,55.94
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Новосиб Технопоинт ТРЦ Калейдоскоп,24299,44966,54.04
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,"Новосиб Технопоинт ТЦ ""Юпитер""",18474,44966,41.08
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Новосиб Технопоинт ТЦ Калининский,16626,44966,36.97
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Томск Технопоинт,24248,44966,53.93
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Томск Технопоинт на Нахимова,19522,44966,43.42
2025-06-02,03. див. Западная Сибирь,Новосибирск Склад,Юрга Технопоинт,16896,44966,37.58
2025-06-02,03. див. Западная Сибирь,Омск Склад,Омск ГИПЕР Арена,5115,32866,15.56
2025-06-02,03. див. Западная Сибирь,Омск Склад,Омск Технопоинт Красный Путь ,15739,32866,47.89
2025-06-02,03. див. Западная Сибирь,Омск Склад,Омск Технопоинт ТЦ Европа,10356,32866,31.51
2025-06-02,03. див. Западная Сибирь,Омск Склад,Омск Технопоинт ТЦ Каскад,18032,32866,54.87
2025-06-02,04. див. Урал,Екатеринбург Склад,Екб Героев России ТП,20116,47592,42.27
2025-06-02,04. див. Урал,Екатеринбург Склад,Нижневартовск ТД Ланкорд ТП,14303,47592,30.05
2025-06-02,04. див. Урал,Екатеринбург Склад,Сургут Склад,9971,47592,20.95
2025-06-02,04. див. Урал,Екатеринбург Склад,Сургут ТК Империя ТП,12173,47592,25.58
2025-06-02,04. див. Урал,Екатеринбург Склад,Сургут ТП,16188,47592,34.01
2025-06-02,04. див. Урал,Екатеринбург Склад,Тюмень ТЦ Заречный двор ТП,17646,47592,37.08
2025-06-02,04. див. Урал,Екатеринбург Склад,Тюмень на Победы ТП,19528,47592,41.03
2025-06-02,04. див. Урал,Пермь Склад,Пермь Космонавтов ТП,8558,37902,22.58
2025-06-02,04. див. Урал,Пермь Склад,Пермь ТК Чкаловский ТП,16227,37902,42.81
2025-06-02,04. див. Урал,Пермь Склад,Пермь ТЦ Лайнер ТП,15778,37902,41.63
2025-06-02,04. див. Урал,Челябинск Склад,Магнитогорск ТП,8120,42220,19.23
2025-06-02,04. див. Урал,Челябинск Склад,ЧБ SPAR на Комсомольском ТП,15438,42220,36.57
2025-06-02,04. див. Урал,Челябинск Склад,ЧБ МОПРа ТП,18528,42220,43.88
2025-06-02,05. див. Юг,Краснодар Склад,Анапа на Таманской ТП,9731,48742,19.96
2025-06-02,05. див. Юг,Краснодар Склад,Владикавказ Весенняя ТП,15578,48742,31.96
2025-06-02,05. див. Юг,Краснодар Склад,Геленджик Кирова ТП,3460,48742,7.1
2025-06-02,05. див. Юг,Краснодар Склад,Гудермес Мега Сити ТП,8603,48742,17.65
2025-06-02,05. див. Юг,Краснодар Склад,Новомихайловский ТП ПВЗ Мира,4058,48742,8.33
2025-06-02,05. див. Юг,Краснодар Склад,Новороссийск Магазин-склад ДНС,15483,48742,31.77
2025-06-02,05. див. Юг,Краснодар Склад,Сочи Весёлое ТК Александровский ТП,6641,48742,13.62
2025-06-02,05. див. Юг,Краснодар Склад,Сочи Магазин-склад ДНС,19387,48742,39.77
2025-06-02,05. див. Юг,Ростов склад,Армавир Луначарского ТП,10859,48542,22.37
2025-06-02,05. див. Юг,Ростов склад,Волгодонск ТП ПВЗ Старый город,7025,48542,14.47
2025-06-02,05. див. Юг,Ростов склад,Донецк ТП М.Горького 31,9801,48542,20.19
2025-06-02,05. див. Юг,Ростов склад,Ейск ТП ПВЗ Мичурина 19,6967,48542,14.35
2025-06-02,05. див. Юг,Ростов склад,Матвеев Курган ПВЗ на Московской,9051,48542,18.65
2025-06-02,05. див. Юг,Ростов склад,Ростов Обсерваторная,9675,48542,19.93
2025-06-02,05. див. Юг,Ростов склад,Ростов Портовая 386 ТП,6902,48542,14.22
2025-06-02,05. див. Юг,Ростов склад,Ростов Ромашка ТП,3088,48542,6.36
2025-06-02,05. див. Юг,Ростов склад,Ростов ТП 50-летия Ростсельмаша,21025,48542,43.31
2025-06-02,05. див. Юг,Ростов склад,Ростов ТРЦ Орбита ТП,7730,48542,15.92
2025-06-02,05. див. Юг,Ростов склад,Ростов ТРЦ РИО ТП,6607,48542,13.61
2025-06-02,05. див. Юг,Ростов склад,Севастополь Ковпака ТП,16019,48542,33.0
2025-06-02,05. див. Юг,Ростов склад,Симферополь ТРЦ ФМ ТП,19014,48542,39.17
2025-06-02,05. див. Юг,Ростов склад,Симферополь ТЦ Виалаки ТП,9335,48542,19.23
2025-06-02,05. див. Юг,Ростов склад,Ставрополь Бруснева ТП,17192,48542,35.42
2025-06-02,05. див. Юг,Ростов склад,Таганрог ТП на Бульварной,12186,48542,25.1
2025-06-02,05. див. Юг,Ростов склад,Ялта Дарсановский ТП,10765,48542,22.18
2025-06-02,06. див. Средняя Волга,Самара Склад,Оренбург 70 лет ВЛКСМ ТП,13494,42764,31.55
2025-06-02,06. див. Средняя Волга,Самара Склад,Пенза ТЦ Лента ТП,13159,42764,30.77
2025-06-02,06. див. Средняя Волга,Самара Склад,Самара Магазин склад 5 просека,3381,42764,7.91
2025-06-02,06. див. Средняя Волга,Самара Склад,Самара Магазин склад на Лукачева,2928,42764,6.85
2025-06-02,06. див. Средняя Волга,Самара Склад,Самара ТЦ Империя ТП,16287,42764,38.09
2025-06-02,06. див. Средняя Волга,Уфа Склад,Уфа Технопоинт ТЦ ДомПроДом,23980,39664,60.46
2025-06-02,07. див. Верхняя Волга,Казань Склад,Йошкар-Ола Технопоинт,10241,46416,22.06
2025-06-02,07. див. Верхняя Волга,Казань Склад,Казань ТП ТЦ Порт,18549,46416,39.96
2025-06-02,07. див. Верхняя Волга,Казань Склад,Наб. Челны ТЦ Омега Технопоинт,13884,46416,29.91
2025-06-02,07. див. Верхняя Волга,Казань Склад,Нижнекамск Технопоинт,11616,46416,25.03
2025-06-02,07. див. Верхняя Волга,Казань Склад,Саранск Технопоинт,13032,46416,28.08
2025-06-02,07. див. Верхняя Волга,Казань Склад,Ульяновск ТП Пушкаревское кольцо,14798,46416,31.88
2025-06-02,07. див. Верхняя Волга,Казань Склад,Чебоксары ТП ТЦ МТВ,11406,46416,24.57
2025-06-02,07. див. Верхняя Волга,Киров Склад,Ижевск Технопоинт,17230,35321,48.78
2025-06-02,07. див. Верхняя Волга,Киров Склад,Киров ТП ПВЗ Чистые Пруды,4095,35321,11.59
2025-06-02,07. див. Верхняя Волга,Киров Склад,Сыктывкар ТЦ Аврора ТП,11805,35321,33.42
2025-06-02,07. див. Верхняя Волга,Киров Склад,Ухта ТП на Заводской,10421,35321,29.5
2025-06-02,08. див. Центральный,Пушкино Склад,"Москва ТЦ Универмаг ""Московский"" ТП",26948,44094,61.11
2025-06-02,08. див. Центральный,Пушкино Склад,Тверь Рубин 2 ТП,22882,44094,51.89
2025-06-02,08. див. Центральный,Софьино Склад,Москва ТЦ АрмадаХоум ТП,26501,41074,64.52
2025-06-02,08. див. Центральный,Софьино Склад,Подольск Технопоинт,23813,41074,57.98
2025-06-02,09. див. Черноземье,Волгоград Склад,Астрахань Торг.Склад,12865,45348,28.37
2025-06-02,09. див. Черноземье,Волгоград Склад,Волгоград Райта Технопоинт,3525,45348,7.77
2025-06-02,09. див. Черноземье,Волгоград Склад,Волжский Технопоинт,10306,45348,22.73
2025-06-02,09. див. Черноземье,Воронеж Склад,Белгород Торг. Склад,15857,45752,34.66
2025-06-02,09. див. Черноземье,Воронеж Склад,Воронеж Технопоинт,15256,45752,33.34
2025-06-02,09. див. Черноземье,Воронеж Склад,Курск Торг. Склад,15032,45752,32.86
2025-06-02,09. див. Черноземье,Воронеж Склад,Липецк Торг. Склад,14343,45752,31.35
2025-06-02,09. див. Черноземье,Воронеж Склад,Старый Оскол Торг. Склад,12369,45752,27.03
2025-06-02,09. див. Черноземье,Воронеж Склад,Тамбов Торг. Склад,14083,45752,30.78
2025-06-02,09. див. Черноземье,Тула Склад,Брянск Торг. Склад,16002,46749,34.23
2025-06-02,09. див. Черноземье,Тула Склад,Калуга Торг. Склад,15155,46749,32.42
2025-06-02,09. див. Черноземье,Тула Склад,Орёл Торг. Склад,12756,46749,27.29
2025-06-02,09. див. Черноземье,Тула Склад,Рязань Торг. Склад,14620,46749,31.27
2025-06-02,09. див. Черноземье,Тула Склад,Смоленск Торг. Склад,14446,46749,30.9
2025-06-02,10. див. Приволжский,Владимир склад (Гвоздика),Архангельск Технопоинт,17375,52770,32.93
2025-06-02,10. див. Приволжский,Владимир склад (Гвоздика),Вологда ТЦ РИО Технопоинт,21256,52770,40.28
2025-06-02,10. див. Приволжский,Владимир склад (Гвоздика),Иваново Технопоинт ТЦ Евролэнд ,19665,52770,37.27
2025-06-02,10. див. Приволжский,Владимир склад (Гвоздика),Кострома Технопоинт ТЦ Солнечный,15258,52770,28.91
2025-06-02,10. див. Приволжский,Владимир склад (Гвоздика),Н.Новгород ТП на Карла Маркса,18662,52770,35.36
2025-06-02,10. див. Приволжский,Владимир склад (Гвоздика),Н.Новгород Технопоинт,23626,52770,44.77
2025-06-02,10. див. Приволжский,Владимир склад (Гвоздика),Северодвинск Гранд ТП,15042,52770,28.5
2025-06-02,10. див. Приволжский,Владимир склад (Гвоздика),Череповец Технопоинт,17093,52770,32.39
2025-06-02,10. див. Приволжский,Владимир склад (Гвоздика),Ярославль ТЦ Family Room ТП,7226,52770,13.69
2025-06-02,10. див. Приволжский,Владимир склад (Гвоздика),Ярославль ТЦ Тандем ТП,24284,52770,46.02
2025-06-02,11. див. Северо-Западный,Санкт-Петербург Склад,Мурманск Позднякова ТП,19370,57031,33.96
2025-06-02,11. див. Северо-Западный,Санкт-Петербург Склад,Петрозаводск Флотилии ТП,15816,57031,27.73
2025-06-03,01. див. Дальний Восток,Владивосток Склад,Владивосток Некрасовская ТП,18427,29980,61.46
2025-06-03,01. див. Дальний Восток,Прим Аэртон,Уссурийск 5-й км. ТП,12021,47103,25.52
2025-06-03,01. див. Дальний Восток,Хабаровск Склад,Благовещенск Набережная ТП,17387,43420,40.04
2025-06-03,01. див. Дальний Восток,Хабаровск Склад,Комсомольск Вокзальная ТП,14007,43420,32.26
2025-06-03,01. див. Дальний Восток,Хабаровск Склад,Хаб Проспект ТП,17851,43420,41.11
